Time,FL,FR,BL,BR,Longitude,Latitude,Course_Over_Ground
1721938496.6204498,3.94,1.06,-6.52,-0.13,0.0,0.0,0.0
1721938496.629491,3.94,1.06,-6.52,-0.13,0.0,0.0,0.0
1721938496.6360185,3.94,1.06,-6.52,-0.13,0.0,0.0,0.0
1721938496.6441872,3.94,1.06,-6.52,-0.13,0.0,0.0,0.0
1721938496.6522675,3.94,1.06,-6.52,-0.13,0.0,0.0,0.0
1721938496.6599166,3.94,1.06,-6.52,-0.13,0.0,0.0,0.0
1721938496.6677618,3.94,1.06,-6.52,-0.13,0.0,0.0,0.0
1721938496.6755962,3.94,1.06,-6.52,-0.13,0.0,0.0,0.0
1721938496.6837974,3.94,1.06,-6.52,-0.13,0.0,0.0,0.0
1721938496.6921124,3.94,1.06,-6.52,-0.13,0.0,0.0,0.0
1721938496.6998866,3.94,1.06,-6.52,-0.13,0.0,0.0,0.0
1721938496.7081687,3.96,1.06,-6.5,-0.13,0.0,0.0,0.0
1721938496.7158601,3.98,1.1,-6.46,-0.11,0.0,0.0,0.0
1721938496.7243779,3.98,1.13,-6.53,-0.04,0.0,0.0,0.0
1721938496.7320056,3.83,1.17,-6.7,0.04,0.0,0.0,0.0
1721938496.7400928,3.64,1.26,-6.82,0.07,0.0,0.0,0.0
1721938496.74809,3.38,1.42,-6.82,0.09,0.0,0.0,0.0
1721938496.756173,3.17,1.6,-6.71,0.09,0.0,0.0,0.0
1721938496.7639048,3.01,1.75,-6.61,0.09,0.0,0.0,0.0
1721938496.7716987,2.9,1.89,-6.5,0.07,0.0,0.0,0.0
1721938496.7798526,2.83,2.03,-6.48,0.02,0.0,0.0,0.0
1721938496.787665,2.77,2.11,-6.59,0.02,0.0,0.0,0.0
1721938496.795633,2.75,2.12,-6.75,0.0,0.0,0.0,0.0
1721938496.8036752,2.79,2.12,-6.8,0.0,0.0,0.0,0.0
1721938496.8117874,2.79,2.09,-6.75,0.0,0.0,0.0,0.0
1721938496.8197775,2.79,2.07,-6.64,0.0,0.0,0.0,0.0
1721938496.8276412,2.77,2.05,-6.57,0.0,0.0,0.0,0.0
1721938496.835944,2.79,2.05,-6.52,-0.02,0.0,0.0,0.0
1721938496.8440504,2.81,2.09,-6.53,-0.02,0.0,0.0,0.0
1721938496.8520422,2.81,2.11,-6.62,-0.02,0.0,0.0,0.0
1721938496.8598936,2.86,2.11,-6.68,-0.02,0.0,0.0,0.0
1721938496.8680544,2.9,2.05,-6.64,-0.02,0.0,0.0,0.0
1721938496.8762965,2.92,2.02,-6.53,-0.04,0.0,0.0,0.0
1721938496.88398,2.92,2.0,-6.46,-0.05,0.0,0.0,0.0
1721938496.8917253,2.9,2.0,-6.44,-0.07,0.0,0.0,0.0
1721938496.899772,2.88,2.0,-6.46,-0.09,0.0,0.0,0.0
1721938496.9078462,2.88,2.02,-6.52,-0.09,0.0,0.0,0.0
1721938496.9156585,2.88,2.02,-6.57,-0.09,0.0,0.0,0.0
1721938496.923597,2.93,2.0,-6.57,-0.09,0.0,0.0,0.0
1721938496.9317725,2.95,1.98,-6.52,-0.09,0.0,0.0,0.0
1721938496.9399335,2.95,1.96,-6.44,-0.11,0.0,0.0,0.0
1721938496.947791,2.92,1.96,-6.41,-0.11,0.0,0.0,0.0
1721938496.9557934,2.93,1.98,-6.41,-0.11,0.0,0.0,0.0
1721938496.9643643,2.93,2.0,-6.41,-0.11,0.0,0.0,0.0
1721938496.9720693,2.93,2.03,-6.44,-0.11,0.0,0.0,0.0
1721938496.9799132,2.95,2.03,-6.46,-0.09,0.0,0.0,0.0
1721938496.9879768,2.97,2.03,-6.46,-0.07,0.0,0.0,0.0
1721938496.9960375,2.95,2.02,-6.44,-0.07,0.0,0.0,0.0
1721938497.0039604,2.92,2.02,-6.43,-0.07,0.0,0.0,0.0
1721938497.0118349,2.92,2.02,-6.43,-0.07,0.0,0.0,0.0
1721938497.019812,2.92,2.0,-6.46,-0.07,0.0,0.0,0.0
1721938497.0279744,2.9,2.02,-6.46,-0.07,0.0,0.0,0.0
1721938497.0360048,2.88,2.03,-6.48,-0.09,0.0,0.0,0.0
1721938497.0442033,2.9,2.02,-6.5,-0.09,0.0,0.0,0.0
1721938497.051954,2.95,1.98,-6.48,-0.09,0.0,0.0,0.0
1721938497.0605044,2.93,1.98,-6.46,-0.09,0.0,0.0,0.0
1721938497.0681646,2.88,2.03,-6.44,-0.09,0.0,0.0,0.0
1721938497.0759401,2.9,2.03,-6.44,-0.09,0.0,0.0,0.0
1721938497.0840657,2.92,2.03,-6.46,-0.09,0.0,0.0,0.0
1721938497.0923746,2.92,2.03,-6.46,-0.09,0.0,0.0,0.0
1721938497.100158,2.92,2.0,-6.44,-0.11,0.0,0.0,0.0
1721938497.1079986,2.99,1.94,-6.43,-0.13,0.0,0.0,0.0
1721938497.1164794,3.02,1.91,-6.41,-0.13,0.0,0.0,0.0
1721938497.124286,2.99,1.93,-6.41,-0.14,0.0,0.0,0.0
1721938497.131732,2.93,1.98,-6.43,-0.14,0.0,0.0,0.0
1721938497.1397176,2.93,2.0,-6.46,-0.13,0.0,0.0,0.0
1721938497.1480458,2.93,2.02,-6.46,-0.13,0.0,0.0,0.0
1721938497.1559594,2.9,2.02,-6.46,-0.13,0.0,0.0,0.0
1721938497.164265,2.9,2.0,-6.44,-0.13,0.0,0.0,0.0
1721938497.1718557,2.95,1.96,-6.44,-0.13,0.0,0.0,0.0
1721938497.17998,2.97,1.98,-6.44,-0.11,0.0,0.0,0.0
1721938497.18876,2.95,2.02,-6.44,-0.09,0.0,0.0,0.0
1721938497.1963637,2.92,2.05,-6.46,-0.09,0.0,0.0,0.0
1721938497.204396,2.92,2.05,-6.46,-0.09,0.0,0.0,0.0
1721938497.2127979,2.9,2.03,-6.46,-0.09,0.0,0.0,0.0
1721938497.2198048,2.9,2.02,-6.44,-0.09,0.0,0.0,0.0
1721938497.228293,2.92,2.02,-6.44,-0.09,0.0,0.0,0.0
1721938497.236407,2.95,2.02,-6.44,-0.07,0.0,0.0,0.0
1721938497.2444675,2.95,2.03,-6.48,-0.07,0.0,0.0,0.0
1721938497.2518964,2.9,2.07,-6.5,-0.07,0.0,0.0,0.0
1721938497.2598658,2.86,2.07,-6.52,-0.07,0.0,0.0,0.0
1721938497.268061,2.84,2.07,-6.52,-0.07,0.0,0.0,0.0
1721938497.2760234,2.83,2.05,-6.52,-0.07,0.0,0.0,0.0
1721938497.2841277,2.81,2.03,-6.52,-0.07,0.0,0.0,0.0
1721938497.2920654,2.83,2.03,-6.52,-0.07,0.0,0.0,0.0
1721938497.3000128,2.86,2.05,-6.53,-0.05,0.0,0.0,0.0
1721938497.3077972,2.86,2.07,-6.53,-0.05,0.0,0.0,0.0
1721938497.3164246,2.84,2.07,-6.53,-0.05,0.0,0.0,0.0
